sample_id,date,region,community,water_source,season,temperature_c,rainfall_mm,ph_level,turbidity_ntu,dissolved_oxygen_mg_l,nitrate_mg_l,coliform_count_cfu,lead_ppm,disease_cases_reported,disease_risk_score,risk_category
WQ-01077,2023-12-04,South West,South Catherine,Rainwater,Dry,28.5,94.2,8.32,3.16,5.56,19.54,98,0.07,2,17.8,Low
WQ-01078,2025-11-06,South West,Edwardsmouth,Lake,Dry,29.8,14.3,9.41,21.4,7.7,0.05,157,0.042,2,17.8,Low
WQ-01079,2025-10-07,South South,West Edwardland,Lake,Rainy,26.7,35.5,5.8,30.26,5.87,5.79,78,0.043,2,20.1,Low
WQ-01080,2022-12-15,North West,West Tina,Rainwater,Rainy,27.0,41.8,8.33,11.44,4.61,16.83,93,0.075,4,18.0,Low
WQ-01081,2023-08-25,South West,Angelabury,Rainwater,Dry,29.8,48.2,7.66,22.62,6.52,7.27,174,0.016,2,16.4,Low
WQ-01082,2023-06-14,North Central,Port Kylehaven,Tap,Dry,21.8,47.4,8.15,19.71,7.02,18.1,123,0.006,2,17.3,Low
WQ-01083,2025-10-24,South West,Milesburgh,Rainwater,Dry,18.4,76.3,6.55,22.13,4.96,29.22,171,0.049,4,23.6,Low
WQ-01084,2023-04-01,North West,New John,Lake,Dry,30.9,17.9,6.67,26.04,5.54,7.26,164,0.078,2,19.3,Low
WQ-01085,2024-05-11,North West,Perezberg,River,Rainy,33.2,181.9,7.8,14.03,6.13,10.74,115,0.051,4,22.4,Low
WQ-01086,2025-04-14,North West,Kevinfurt,Well,Rainy,30.3,73.9,6.95,23.1,5.56,11.95,128,0.009,6,16.7,Low
WQ-01087,2024-08-21,North West,South Carolynville,Tap,Dry,24.6,52.4,7.11,0.65,5.16,10.41,276,0.025,2,9.5,Low
WQ-01088,2024-08-25,North Central,Port Dennisbury,Lake,Dry,28.1,10.9,8.33,16.83,4.55,10.48,32,0.035,1,14.1,Low
WQ-01089,2025-10-26,North East,West Sandrastad,Rainwater,Dry,23.4,27.5,8.35,24.82,7.97,27.71,108,0.005,3,20.3,Low
WQ-01090,2024-04-26,South East,New Ashley,Rainwater,Rainy,27.9,31.4,6.23,18.53,7.46,8.47,285,0.076,3,19.4,Low
WQ-01091,2023-02-15,North Central,North Ronnieport,River,Dry,30.5,25.1,9.19,15.34,8.25,12.55,224,0.063,3,20.1,Low
WQ-01092,2022-10-21,North West,North Melanie,Tap,Rainy,22.2,15.3,9.03,4.93,6.71,20.06,230,0.064,2,17.0,Low
WQ-01093,2022-06-15,North West,Jasonport,Lake,Dry,21.7,22.4,7.61,6.17,7.65,5.8,252,0.038,0,10.7,Low
WQ-01094,2023-10-04,South East,South Wendy,Well,Dry,26.8,7.9,5.9,6.95,6.2,24.24,218,0.01,1,12.9,Low
WQ-01095,2024-07-14,South West,Zacharyland,Borehole,Dry,27.2,91.0,8.16,7.34,7.91,22.96,169,0.069,0,20.2,Low
WQ-01096,2025-03-26,North West,Timothymouth,River,Dry,24.8,56.3,7.8,9.59,5.86,18.29,386,0.021,4,16.8,Low
WQ-01097,2022-09-23,North East,Melanieshire,Tap,Dry,25.2,18.6,6.57,3.35,4.11,16.04,85,0.002,1,7.2,Low
WQ-01098,2024-04-06,South South,East Sara,Tap,Rainy,27.4,18.5,8.55,6.43,6.26,32.85,130,0.023,4,15.7,Low
WQ-01099,2022-01-10,South East,Woodsshire,Tap,Rainy,25.0,9.4,6.1,5.31,3.7,30.9,63,0.04,3,13.6,Low
WQ-01100,2024-02-04,North Central,Hansonville,Rainwater,Dry,29.4,78.7,6.8,18.18,6.17,19.72,265,0.007,0,18.2,Low
WQ-01101,2022-02-06,North Central,Lake Carlamouth,Well,Dry,25.6,25.7,6.27,15.72,4.81,24.42,407,0.002,0,17.7,Low
WQ-01102,2023-04-09,South West,Port Chrisberg,Borehole,Dry,21.6,42.0,6.74,17.29,6.85,12.04,160,0.015,2,14.0,Low
WQ-01103,2022-09-22,South West,New Rachel,Well,Rainy,30.3,16.8,5.57,0.78,6.21,10.89,194,0.007,1,8.5,Low
WQ-01104,2022-12-09,North Central,New Gary,Tap,Rainy,22.1,32.9,5.73,0.3,9.78,5.34,130,0.04,1,9.2,Low
WQ-01105,2023-08-19,North Central,North Shaun,Borehole,Rainy,25.8,90.3,7.92,21.35,7.98,18.09,196,0.002,2,20.1,Low
WQ-01106,2024-06-07,South East,East Jason,Lake,Rainy,27.6,27.6,6.84,8.53,3.75,17.56,112,0.066,5,13.7,Low
WQ-01107,2024-09-30,South West,Port Brandon,River,Rainy,27.6,23.1,6.84,19.35,7.62,13.15,11,0.05,0,14.6,Low
WQ-01108,2024-04-06,North West,Guzmanport,River,Dry,22.9,28.7,7.34,10.89,8.26,14.95,96,0.031,1,12.1,Low
WQ-01109,2022-09-26,North Central,Fisherview,River,Dry,29.2,25.0,8.01,12.74,6.07,7.68,383,0.05,2,16.5,Low
WQ-01110,2025-04-22,North East,North Sarahhaven,Lake,Dry,27.1,12.6,8.6,21.39,6.5,0.95,225,0.095,1,20.2,Low
WQ-01111,2024-01-21,South South,Paulmouth,River,Dry,23.3,28.2,6.38,5.13,5.41,11.76,118,0.004,3,8.4,Low
WQ-01112,2024-02-08,South West,East Megan,Lake,Dry,24.0,25.8,8.39,22.0,6.94,18.34,178,0.02,3,19.0,Low
WQ-01113,2025-05-01,South West,New Sharon,Well,Dry,26.8,24.1,6.86,8.66,6.37,3.97,97,0.051,1,9.7,Low
WQ-01114,2025-08-31,North Central,Kariton,Lake,Dry,25.6,12.6,7.32,0.5,6.91,14.04,392,0.017,1,9.2,Low
WQ-01115,2024-05-03,North Central,North Jonathan,Borehole,Dry,23.9,51.0,7.85,6.41,6.59,29.2,182,0.034,3,16.4,Low
WQ-01116,2025-01-25,South East,Pamelahaven,Tap,Dry,29.0,87.4,6.04,27.25,6.66,13.93,288,0.015,4,23.1,Low
WQ-01117,2023-02-25,North West,Christophershire,Tap,Dry,28.6,42.0,7.26,25.35,4.21,30.57,159,0.05,1,23.0,Low
WQ-01118,2023-09-09,South West,Kevinmouth,Lake,Dry,33.7,50.0,6.82,0.15,6.55,7.82,93,0.025,0,7.0,Low
WQ-01119,2025-09-18,South East,Richardfort,Lake,Dry,27.9,33.0,7.61,10.83,5.05,15.24,316,0.071,2,17.6,Low
WQ-01120,2024-05-07,South South,Johnsonport,Well,Dry,30.4,45.2,6.61,14.48,8.92,26.97,95,0.042,0,17.4,Low
WQ-01121,2023-08-02,North Central,Stephanieport,Rainwater,Dry,32.5,24.9,8.12,24.07,7.07,16.61,343,0.084,5,24.5,Low
WQ-01122,2023-02-11,North Central,East Sharon,Borehole,Rainy,29.6,15.0,6.6,10.92,6.4,10.14,175,0.026,4,11.0,Low
WQ-01123,2024-12-07,South South,West Duaneview,River,Rainy,26.3,25.9,6.79,12.79,5.38,6.81,53,0.04,3,10.9,Low
WQ-01124,2023-08-28,North East,Lake Thomas,Well,Rainy,31.8,96.8,7.99,7.68,6.29,26.72,138,0.014,1,17.3,Low
WQ-01125,2023-03-02,North East,Smithport,Borehole,Rainy,27.5,18.6,8.33,9.33,4.83,8.0,10,0.021,0,10.1,Low
WQ-01126,2023-04-26,South West,Paulastad,Tap,Rainy,23.0,48.3,8.13,13.03,2.95,24.96,158,0.061,4,19.9,Low
WQ-01127,2022-08-15,North Central,South Morganchester,Borehole,Dry,26.1,30.5,5.26,16.02,6.74,13.77,31,0.031,2,16.0,Low
WQ-01128,2022-11-02,South South,East Kelly,Lake,Rainy,26.9,54.4,8.19,27.85,9.12,21.99,51,0.042,1,23.1,Low
WQ-01129,2022-07-27,North Central,South Gina,Rainwater,Dry,24.8,38.6,5.33,0.39,8.76,26.93,116,0.042,2,14.6,Low
WQ-01130,2024-07-24,North West,New Ronald,Lake,Dry,26.9,64.1,7.49,0.54,9.79,3.18,176,0.04,0,9.3,Low
WQ-01131,2022-04-13,North West,Weberborough,Well,Rainy,25.4,11.6,8.35,21.28,8.54,9.13,159,0.037,3,17.0,Low
WQ-01132,2023-08-19,North Central,Teresashire,River,Dry,29.5,79.3,7.78,6.16,7.58,25.08,15,0.038,0,15.4,Low
WQ-01133,2024-05-22,North West,Jonesfort,Lake,Rainy,26.7,0.7,6.9,4.84,7.03,18.7,187,0.026,1,9.3,Low
WQ-01134,2022-04-04,South West,Colechester,Borehole,Dry,22.5,25.4,7.37,4.19,7.96,19.49,359,0.097,2,17.1,Low
WQ-01135,2023-11-05,North Central,South Markburgh,River,Dry,25.6,38.7,5.32,24.76,4.98,12.72,161,0.008,1,19.2,Low
WQ-01136,2022-07-10,North West,Juliaborough,Tap,Rainy,20.0,24.3,7.27,8.21,9.06,2.63,197,0.1,1,13.6,Low
WQ-01137,2022-08-22,North West,Port Angela,Well,Dry,30.1,40.9,7.18,7.64,7.22,16.63,26,0.048,2,11.9,Low
WQ-01138,2023-07-11,South East,East Cameronside,Tap,Rainy,22.6,9.5,6.82,3.88,5.6,18.95,192,0.004,0,8.2,Low
WQ-01139,2024-05-13,South East,Millerport,Lake,Rainy,22.3,33.5,8.08,26.51,4.74,0.73,15,0.078,1,18.9,Low
WQ-01140,2022-09-29,South West,East Nancy,River,Dry,34.0,11.3,4.83,6.18,5.59,12.99,160,0.006,6,11.8,Low
WQ-01141,2022-11-23,South West,Port Kevinberg,Lake,Dry,30.2,42.5,7.19,22.59,7.6,17.06,222,0.028,2,18.4,Low
WQ-01142,2025-03-11,North Central,South Terri,Tap,Rainy,27.7,59.6,8.01,5.74,7.03,15.4,112,0.031,1,13.3,Low
WQ-01143,2025-06-05,South West,Lake Kyle,Tap,Dry,29.3,5.1,8.2,1.35,5.34,11.52,269,0.028,1,9.9,Low
WQ-01144,2025-11-02,South East,South Chelseamouth,Well,Dry,26.3,19.2,6.88,7.98,8.73,6.77,130,0.012,1,7.6,Low
WQ-01145,2024-09-26,South West,Zavalaberg,River,Rainy,25.4,52.9,9.91,9.77,7.03,15.97,118,0.003,1,16.7,Low
WQ-01146,2022-04-05,North Central,West Christopherville,Tap,Rainy,22.7,21.6,3.91,12.84,7.37,11.77,314,0.071,2,22.0,Low
WQ-01147,2022-01-26,North Central,Port Cheryl,Well,Rainy,26.5,64.1,6.99,22.52,7.94,18.34,324,0.047,4,21.5,Low
WQ-01148,2025-10-03,South West,North Matthew,Lake,Dry,26.6,59.3,5.83,2.89,7.86,2.97,404,0.034,2,13.1,Low
WQ-01149,2024-06-05,North West,Robertmouth,Rainwater,Dry,30.0,67.5,5.47,20.28,8.23,0.36,37,0.003,1,14.7,Low
WQ-01150,2024-09-13,South West,East Reneechester,Lake,Dry,25.1,71.2,6.65,21.17,7.69,22.86,12,0.051,1,20.1,Low
WQ-01151,2022-11-01,North West,Port Jenniferbury,Lake,Rainy,23.5,10.0,6.91,6.23,4.7,2.04,214,0.077,0,10.4,Low
WQ-01152,2022-01-24,South South,Cookehaven,Rainwater,Dry,25.2,27.5,6.29,5.39,7.59,4.74,12,0.041,2,8.4,Low
WQ-01153,2024-10-12,South West,Fosterberg,River,Rainy,27.4,6.6,5.9,3.12,5.32,11.28,67,0.016,2,7.6,Low
WQ-01154,2023-10-19,North East,North Anthony,Borehole,Rainy,29.7,19.1,5.43,2.59,5.58,35.44,33,0.073,4,17.0,Low
WQ-01155,2022-04-14,North East,West Tammy,Well,Rainy,26.9,48.3,6.31,29.22,9.18,5.68,392,0.002,4,19.9,Low
WQ-01156,2024-04-05,South South,Kimside,River,Rainy,28.3,101.4,5.83,23.76,4.22,30.74,113,0.112,3,30.6,Low
WQ-01157,2024-06-28,North East,East James,Borehole,Rainy,29.5,12.7,6.56,10.78,7.13,20.24,410,0.049,0,16.8,Low
WQ-01158,2024-10-17,South South,Deborahchester,Tap,Dry,31.6,57.9,8.0,31.19,7.3,5.07,84,0.041,3,21.0,Low
WQ-01159,2024-10-15,South East,New Nancyfurt,Well,Dry,28.8,33.5,6.24,28.0,7.27,10.47,287,0.02,1,19.9,Low
WQ-01160,2022-07-30,South West,Martinezland,Lake,Dry,28.0,9.4,5.19,5.58,9.41,10.49,168,0.048,3,13.0,Low
WQ-01161,2025-02-15,South East,Port Garrett,Tap,Dry,22.5,36.0,7.05,29.34,8.15,6.37,188,0.033,0,18.1,Low
WQ-01162,2025-05-22,South South,Peterbury,Borehole,Dry,27.6,4.7,7.98,9.3,6.3,16.05,220,0.017,3,12.2,Low
WQ-01163,2024-11-07,South South,East Debramouth,Lake,Rainy,32.1,46.9,8.96,14.52,4.92,5.78,147,0.044,1,17.1,Low
WQ-01164,2023-11-30,South South,Riveraside,River,Rainy,17.1,68.6,6.41,18.3,5.78,5.12,332,0.008,1,16.3,Low
WQ-01165,2024-07-19,North West,Weberfort,Borehole,Dry,25.5,31.8,6.68,12.27,8.13,13.86,151,0.006,2,11.5,Low
WQ-01166,2025-09-07,North West,West Lauren,Rainwater,Rainy,28.7,44.5,5.74,4.75,8.46,1.98,244,0.021,1,10.7,Low
WQ-01167,2022-08-22,North West,Lunaside,Lake,Rainy,34.5,31.3,6.56,6.28,6.83,11.62,217,0.002,2,9.4,Low
WQ-01168,2022-01-05,North Central,West Crystalside,Lake,Dry,22.9,14.1,8.38,16.07,5.62,27.57,284,0.113,2,24.9,Low
WQ-01169,2025-01-26,North West,Rosemouth,Well,Rainy,26.1,40.1,5.65,12.6,7.01,31.98,134,0.027,4,18.9,Low
WQ-01170,2022-04-04,South South,Shellyburgh,Well,Dry,18.7,21.7,4.86,23.37,4.28,22.89,255,0.128,1,29.3,Low
WQ-01171,2024-04-18,North East,Bonniehaven,Tap,Dry,31.2,64.6,7.44,36.77,6.54,16.42,300,0.067,5,28.4,Low
WQ-01172,2023-01-20,North Central,Nicholston,Well,Dry,27.2,20.9,7.62,2.19,7.17,34.79,115,0.012,3,12.0,Low
WQ-01173,2024-07-25,North Central,Stantonbury,Tap,Dry,34.7,84.1,7.16,0.84,6.75,18.8,334,0.082,4,17.1,Low
WQ-01174,2022-08-09,North East,North Darinshire,Lake,Rainy,30.5,14.4,5.12,11.98,5.3,41.25,129,0.082,3,23.6,Low
WQ-01175,2024-07-11,South East,Port Charlesbury,Borehole,Dry,20.7,15.0,6.49,12.74,7.88,23.76,214,0.043,4,16.1,Low
WQ-01176,2024-10-18,South East,Lake Brandy,Lake,Dry,28.0,73.0,8.35,21.68,3.78,15.36,63,0.009,2,18.7,Low
WQ-01177,2025-02-07,North Central,North Kimberly,Rainwater,Dry,29.2,16.2,7.03,29.58,8.3,15.67,98,0.05,1,19.2,Low
WQ-01178,2024-11-07,South East,Castroborough,Rainwater,Rainy,30.1,28.2,7.09,16.38,7.59,29.4,279,0.053,3,19.7,Low
WQ-01179,2022-09-20,North East,Brownshire,Lake,Dry,31.3,37.6,7.08,8.5,3.88,3.83,41,0.049,2,9.5,Low
WQ-01180,2024-10-29,North Central,Saraville,Tap,Rainy,22.5,53.0,5.67,12.56,8.26,7.34,177,0.029,1,15.1,Low
WQ-01181,2023-07-15,South East,Davidshire,Tap,Dry,25.5,51.1,7.91,6.87,8.42,15.55,202,0.003,2,12.3,Low
WQ-01182,2024-07-16,South East,East Sandraside,Well,Rainy,24.0,49.0,8.03,10.46,5.6,7.19,91,0.052,3,14.0,Low
WQ-01183,2025-05-18,North East,Lake Andrew,River,Rainy,24.1,36.9,7.43,11.54,5.45,17.96,136,0.05,1,15.1,Low
WQ-01184,2025-12-07,South West,East Amandaborough,Lake,Rainy,31.1,21.3,8.96,7.82,5.38,0.07,269,0.023,1,12.1,Low
WQ-01185,2023-02-16,South South,Port Ellenbury,Well,Dry,22.0,34.5,8.28,11.18,5.97,1.4,139,0.044,0,12.9,Low
WQ-01186,2025-11-07,North East,Cherylfurt,Rainwater,Rainy,26.5,39.3,7.08,2.04,6.34,17.21,129,0.038,4,10.0,Low
WQ-01187,2025-08-24,North West,Harrisport,Lake,Dry,30.1,6.9,7.24,2.9,6.14,21.25,265,0.02,1,10.1,Low
WQ-01188,2022-08-25,North East,Torresmouth,Rainwater,Rainy,29.9,72.1,7.73,3.59,5.03,14.48,57,0.005,1,10.2,Low
WQ-01189,2025-04-08,North West,Brandonview,Rainwater,Rainy,27.4,119.5,7.55,14.14,6.03,22.16,189,0.068,7,22.9,Low
WQ-01190,2025-10-12,South South,South Robert,Lake,Rainy,26.5,25.1,6.23,7.01,6.08,25.25,259,0.01,1,13.7,Low
WQ-01191,2024-05-15,South West,Jenniferchester,Rainwater,Rainy,22.8,19.1,8.25,16.62,8.13,16.9,94,0.049,3,17.1,Low
WQ-01192,2022-02-21,North Central,Shieldsmouth,Rainwater,Dry,24.3,41.4,10.14,17.61,5.13,16.44,52,0.063,2,22.7,Low
WQ-01193,2025-10-04,South East,Richardsonshire,River,Dry,27.6,33.7,6.39,18.0,6.42,11.09,174,0.058,1,17.2,Low
WQ-01194,2022-11-26,North Central,Barrettfort,River,Rainy,22.6,40.5,8.58,8.76,7.96,36.15,269,0.059,1,22.1,Low
WQ-01195,2022-10-27,North West,Dustinshire,Lake,Rainy,19.7,83.5,6.12,28.88,5.56,29.4,192,0.004,3,24.8,Low
WQ-01196,2023-02-22,North Central,South Manuel,Lake,Rainy,30.2,16.2,7.91,15.06,8.01,8.75,123,0.063,5,15.2,Low
WQ-01197,2024-07-15,South South,South Alyssa,Borehole,Rainy,30.7,40.9,7.88,10.1,5.79,2.37,190,0.036,0,12.2,Low
WQ-01198,2025-08-18,North Central,Port Greg,Rainwater,Dry,20.9,31.5,8.71,8.52,5.19,27.78,105,0.001,1,14.9,Low
WQ-01199,2024-11-12,South South,Lisaville,Tap,Dry,29.8,103.7,7.68,19.72,8.1,16.05,209,0.07,3,23.6,Low
WQ-01200,2024-02-21,South West,Lawsonstad,Well,Dry,28.6,33.8,5.58,6.85,8.17,18.9,284,0.013,6,14.5,Low
WQ-01201,2025-02-04,South East,Port Linda,Tap,Rainy,31.2,21.7,5.04,2.17,5.44,21.42,210,0.032,1,14.2,Low
WQ-01202,2023-02-20,North Central,New Davidville,Borehole,Rainy,27.7,18.7,6.21,7.7,5.72,5.98,309,0.017,1,10.8,Low
WQ-01203,2025-07-21,South South,Shellyville,Tap,Dry,26.4,14.7,7.09,25.38,7.25,3.4,1,0.032,2,13.1,Low
WQ-01204,2025-04-20,South West,North Vincentville,Lake,Rainy,23.3,48.5,7.82,6.37,6.81,5.79,331,0.033,0,13.0,Low
WQ-01205,2023-02-01,South South,Kaylaland,Lake,Dry,31.9,58.7,7.09,22.93,6.97,6.09,156,0.103,4,20.9,Low
WQ-01206,2025-10-30,North West,Port Sabrinaland,Tap,Dry,32.4,83.4,6.42,12.55,5.27,4.45,63,0.129,0,19.6,Low
WQ-01207,2024-11-18,North Central,New Kimberlytown,River,Dry,27.5,51.5,7.64,14.9,4.67,3.44,51,0.088,0,16.1,Low
WQ-01208,2024-05-27,North Central,East William,Tap,Dry,28.3,59.3,7.95,6.94,8.61,19.42,64,0.0,2,12.0,Low
WQ-01209,2022-09-24,North West,West Susanport,Rainwater,Rainy,19.9,9.7,6.14,25.42,6.66,12.07,102,0.031,2,17.1,Low
WQ-01210,2022-01-12,North East,Johnhaven,Rainwater,Rainy,21.8,139.1,7.04,15.02,9.13,28.43,122,0.049,6,22.6,Low
WQ-01211,2022-03-23,North West,Mcleanchester,Tap,Dry,25.7,18.2,7.09,15.69,5.73,32.56,335,0.031,5,18.8,Low
WQ-01212,2025-07-04,North East,Kemptown,Well,Dry,33.1,25.0,7.1,13.8,8.56,23.65,66,0.067,1,16.2,Low
WQ-01213,2024-10-01,South South,South Jacqueline,Lake,Rainy,23.3,16.4,6.23,19.26,8.14,8.31,246,0.109,3,20.5,Low
WQ-01214,2022-05-30,South South,North Danielburgh,Rainwater,Rainy,24.2,55.4,8.09,8.16,5.43,0.21,61,0.057,2,12.2,Low
WQ-01215,2023-01-12,South West,Devinbury,Well,Dry,24.6,11.2,7.75,2.84,7.85,10.03,283,0.051,0,11.1,Low
WQ-01216,2024-05-01,South South,Johnberg,Borehole,Dry,26.9,64.2,7.99,5.57,6.52,20.91,307,0.091,5,20.2,Low
WQ-01217,2022-07-08,South South,Lake Paul,Rainwater,Rainy,26.5,32.3,7.19,20.17,7.73,21.98,284,0.026,1,18.4,Low
WQ-01218,2025-09-20,North West,West Gwendolyn,River,Dry,19.5,17.8,5.51,12.48,7.74,22.93,130,0.057,1,18.0,Low
WQ-01219,2023-08-25,North West,Kaitlynshire,Well,Rainy,27.8,31.7,7.28,8.63,6.64,14.63,49,0.097,3,14.9,Low
WQ-01220,2025-02-23,North East,South Ruthberg,Rainwater,Rainy,21.1,24.9,6.7,4.16,6.71,18.0,144,0.036,0,10.7,Low
WQ-01221,2025-10-01,South West,Woodstad,Borehole,Dry,22.2,41.7,4.62,6.88,6.26,4.6,110,0.053,0,14.8,Low
WQ-01222,2025-08-08,North West,Kristyshire,Tap,Dry,21.7,135.5,6.11,22.03,5.6,12.1,92,0.034,0,22.3,Low
WQ-01223,2022-03-23,South South,Lake Veronica,Rainwater,Dry,22.5,59.2,6.65,14.22,4.88,18.24,226,0.013,4,15.7,Low
WQ-01224,2022-08-21,South West,Ricardohaven,Well,Rainy,19.6,36.3,4.92,8.17,10.16,18.77,125,0.037,3,16.4,Low
WQ-01225,2022-02-20,South East,Bethanyfurt,Well,Rainy,24.2,18.0,6.8,15.54,6.76,17.88,351,0.028,3,16.0,Low
WQ-01226,2024-09-23,South South,North Shanemouth,Well,Rainy,30.0,39.6,5.42,29.85,6.7,7.92,132,0.042,6,21.9,Low
WQ-01227,2023-10-19,North Central,Christopherville,Well,Dry,18.1,37.3,8.36,10.09,5.18,18.36,172,0.0,0,13.8,Low
WQ-01228,2022-12-09,South South,Lake Michaeltown,Borehole,Dry,21.9,36.3,7.06,19.75,9.68,17.37,98,0.096,6,19.8,Low
WQ-01229,2025-07-07,South South,Ashleystad,Rainwater,Dry,31.2,87.0,6.75,12.07,9.14,6.84,117,0.006,1,12.3,Low
WQ-01230,2025-11-04,North Central,Smithchester,River,Dry,31.6,3.7,8.04,18.84,5.51,9.18,94,0.058,1,15.7,Low
WQ-01231,2025-01-06,South East,West Eric,Borehole,Dry,30.8,46.8,7.68,5.34,7.03,11.1,150,0.002,1,9.5,Low
WQ-01232,2025-08-17,South West,New Robin,Lake,Rainy,26.3,20.3,6.91,6.59,8.48,6.41,320,0.095,1,14.1,Low
WQ-01233,2022-02-18,North Central,East Tonya,Lake,Dry,19.2,35.8,6.52,11.93,6.93,36.52,93,0.112,5,22.5,Low
WQ-01234,2022-03-19,South East,Phillipsside,Lake,Rainy,30.4,25.3,6.96,22.58,6.43,16.83,64,0.0,2,13.8,Low
WQ-01235,2022-12-31,North Central,Jonesborough,Borehole,Dry,25.8,15.1,8.56,3.7,5.32,27.08,179,0.054,0,15.8,Low
WQ-01236,2025-03-23,North West,Maureenville,Rainwater,Dry,23.4,32.8,8.04,5.07,7.02,47.86,233,0.139,0,26.2,Low
WQ-01237,2024-03-05,North East,Jaimefort,Well,Rainy,29.3,67.0,8.21,26.25,9.24,9.25,180,0.027,3,21.0,Low
WQ-01238,2024-06-05,South East,Matthewside,Lake,Rainy,30.3,45.3,7.1,15.62,7.68,7.57,262,0.051,1,15.6,Low
WQ-01239,2025-10-10,North West,New Isaiahbury,Borehole,Rainy,25.9,14.0,7.31,19.04,7.0,11.85,177,0.083,3,17.8,Low
WQ-01240,2025-08-06,North Central,South Cheryl,Rainwater,Dry,24.7,45.6,6.21,2.52,6.97,1.7,1,0.016,2,6.2,Low
WQ-01241,2025-04-14,South West,Burtonborough,Rainwater,Dry,23.9,45.3,6.54,13.07,4.78,10.87,435,0.018,2,15.7,Low
WQ-01242,2024-01-03,North Central,Port Mario,Lake,Dry,28.5,21.6,9.3,5.94,3.99,10.83,268,0.006,2,13.1,Low
WQ-01243,2025-11-05,South South,North Bruce,Borehole,Rainy,25.5,4.9,8.94,21.67,5.13,5.75,182,0.047,3,18.2,Low
WQ-01244,2023-07-31,North West,South Brittanymouth,Rainwater,Dry,22.9,21.7,8.68,18.76,7.3,6.38,79,0.082,0,18.7,Low
WQ-01245,2025-09-15,South East,Toddberg,Tap,Rainy,23.9,4.7,9.11,5.74,5.06,17.86,48,0.002,2,10.8,Low
WQ-01246,2024-12-28,North Central,South Ernestbury,Tap,Dry,23.2,46.7,7.3,29.2,4.99,25.84,63,0.005,3,20.0,Low
WQ-01247,2025-01-22,North East,Duranland,River,Rainy,24.0,13.8,5.9,17.53,4.26,14.21,23,0.071,2,17.0,Low
WQ-01248,2023-09-03,North West,Lake Danielchester,Lake,Dry,28.5,18.0,9.2,4.52,7.56,10.27,20,0.018,0,10.4,Low
WQ-01249,2022-01-23,South West,Timothyland,Lake,Rainy,29.8,32.9,6.67,23.22,5.98,22.16,201,0.022,3,18.8,Low
WQ-01250,2022-09-10,South South,Sandraton,Rainwater,Dry,20.4,31.3,6.09,25.1,7.52,15.73,87,0.003,2,17.0,Low
WQ-01251,2025-01-05,North Central,Jasonside,Borehole,Rainy,26.1,22.2,6.36,11.13,7.95,5.78,28,0.048,1,11.0,Low
WQ-01252,2023-03-07,South South,Lake Jacob,Borehole,Rainy,20.3,19.3,9.57,9.95,6.72,1.37,184,0.049,3,15.0,Low
WQ-01253,2023-03-10,South West,East Sonyaville,Lake,Rainy,27.6,50.1,6.18,14.49,6.57,25.84,80,0.024,2,17.0,Low
WQ-01254,2022-11-26,South East,West Austinbury,Lake,Dry,30.1,32.2,9.2,1.43,4.6,13.59,155,0.021,1,12.1,Low
WQ-01255,2023-02-02,North East,West Michael,River,Rainy,24.8,10.6,7.69,9.21,9.41,22.42,299,0.007,0,13.3,Low
WQ-01256,2025-01-29,North Central,Lake Ana,River,Dry,26.5,21.2,7.13,25.08,4.94,17.03,202,0.051,5,19.3,Low
WQ-01257,2023-08-19,South East,Port Hayley,Lake,Dry,31.9,110.4,6.04,1.26,3.87,33.02,255,0.002,1,17.2,Low
WQ-01258,2022-07-21,South West,Greenport,Borehole,Rainy,30.4,26.3,7.53,10.58,3.57,5.82,320,0.037,2,13.0,Low
WQ-01259,2023-11-09,North East,West Debrahaven,Lake,Rainy,24.7,38.3,5.32,13.45,4.51,16.66,314,0.019,1,18.0,Low
WQ-01260,2022-07-24,North West,Sandraside,River,Dry,23.7,51.2,3.68,2.13,7.19,22.72,356,0.044,6,20.9,Low
WQ-01261,2023-02-01,North West,Lake Tracy,Rainwater,Dry,34.2,27.7,5.95,1.9,6.7,22.17,212,0.011,3,11.4,Low
WQ-01262,2023-11-04,North West,Kingchester,Tap,Rainy,27.3,68.9,6.44,10.55,3.88,13.18,232,0.044,4,16.2,Low
WQ-01263,2025-11-21,South South,Cunninghamville,Lake,Rainy,32.9,63.2,9.24,9.42,7.76,27.29,272,0.035,1,21.5,Low
WQ-01264,2023-10-10,South South,West Kelly,River,Rainy,28.8,62.7,7.58,15.68,5.44,19.01,239,0.043,2,19.1,Low
WQ-01265,2023-10-04,South East,Ericstad,River,Dry,33.0,48.4,8.43,22.67,7.01,25.84,82,0.024,4,21.3,Low
WQ-01266,2023-07-21,North East,Mackenzieton,River,Rainy,26.2,78.4,6.22,1.39,4.95,17.05,229,0.053,1,15.0,Low
WQ-01267,2024-09-09,North West,Joannafurt,River,Rainy,22.7,39.8,8.77,0.43,6.0,8.04,10,0.019,1,8.6,Low
WQ-01268,2023-09-18,South East,Gomezland,Tap,Rainy,27.1,19.7,6.8,5.07,6.84,19.24,178,0.038,3,11.3,Low
WQ-01269,2022-12-26,South East,Smithburgh,Rainwater,Dry,29.2,102.7,6.69,3.56,4.29,7.99,159,0.052,2,13.5,Low
WQ-01270,2023-07-29,South West,Graymouth,Rainwater,Dry,28.4,9.9,5.72,9.7,6.31,29.25,52,0.074,4,17.7,Low
